cyrillic,menksoft,unicode,latin
,,,᠂,᠂
.,,᠃,᠃
?,?,?,?
а,,ᠠ,a
аа,,ᠡ,e
аав,,ᠠᠪᠤ,abv
аавархаг,,ᠠᠪᠤᠷᠬᠠᠭ,abvrhag
аадар,,ᠠᠭᠠᠳᠠᠷ,agadar
аажав,,ᠠᠵᠠᠪ,ajab
аажимбаяр,,ᠠᠭᠠᠵᠢᠮᠪᠠᠶᠠᠷ,agajimbayar
аас,,ᠡᠴᠡ,ece
абага,,ᠠᠪᠠᠭ᠎ᠠ,abag-a
абажур,,ᠠᠪᠠᠵᠦ᠋ᠷ,abaju1r
абахай,,ᠠᠪᠠᠬᠠᠢ,abahai
аборт,,ᠠᠪᠣᠷᠲ,abqrt
абу,,ᠠᠪᠤ,abv
абулай,,ᠠᠪᠤᠯᠠᠢ,abvlai
ав,,ᠠᠪᠠ,aba
аваад,,ᠠᠪᠤᠭᠠᠳ,abvgad
аваансүрэн,,ᠠᠸᠠᠩᠰᠦ᠋ᠷᠦᠩ,awaNsu1ruN
авалай,,ᠠᠪᠤᠯᠠᠢ,abvlai
авангард,,ᠠᠸᠠᠨ᠋ᠭᠠᠷᠳ,awan1gard
авараа,,ᠠᠪᠢᠷ,abir
аварга,,ᠠᠪᠤᠷᠭᠤ,abvrgv
аваргабаатар,,ᠠᠪᠤᠷᠭᠤᠪᠠᠭᠠᠲᠤᠷ,abvrgvbagatvr
аваргадорж,,ᠠᠪᠤᠷᠭᠤᠳᠤᠷᠵᠢ,abvrgvdvrji
аваргажаргал,,ᠠᠪᠤᠷᠭᠤᠵᠢᠷᠭᠠᠯ,abvrgvjirgal
аваргамөнх,,ᠠᠪᠤᠷᠭᠤᠮᠦ᠋ᠩᠬᠡ,abvrgvmu1Nhe
аварзад,,ᠠᠪᠠᠷᠠᠵᠢᠳ,abarajid
аварзэд,,ᠠᠪᠠᠷᠠᠵᠢᠳ,abarajid
авармид,,ᠠᠪᠠᠷᠠᠮᠢᠳ,abaramid
авармэд,,ᠠᠪᠠᠷᠮᠢᠳ,abarmid
аварсэд,,ᠠᠪᠠᠷᠠᠰᠢᠳᠢ,abarasidi
авах,,ᠠᠪᠬᠤ,abhv
авбал,,ᠠᠪᠤᠪᠠᠯ,abvbal
авга,,ᠠᠪᠠᠭ᠎ᠠ,abag-a
авгаан,,ᠠᠭᠸᠠᠩ,agwaN
авиа,,ᠠᠪᠢᠶ᠎ᠠ,abiy-a
авид,,ᠠᠪᠢᠳᠠ,abida
авида,,ᠠᠪᠢᠳᠠ,abida
авидбаатар,,ᠠᠪᠢᠳᠠᠪᠠᠭᠠᠲᠤᠷ,abidabagatvr
авидгэрэл,,ᠠᠪᠢᠳᠠᠭᠡᠷᠡᠯ,abidagerel
авиддулам,,ᠠᠪᠢᠳᠠᠳᠤᠯᠮ᠎ᠠ,abidadvlm-a
авиджав,,ᠠᠪᠢᠳᠠᠵᠠᠪ,abidajab
авидмэд,,ᠠᠪᠢᠳᠠᠮᠢᠳ,abidamid
авидсүрэн,,ᠠᠪᠢᠳᠠᠰᠦ᠋ᠷᠦᠩ,abidasu1ruN
